name,poi_class,display_category,lon,lat,ring_mi
,,Government Office,-81.68806,30.208250000000007,5
,,Travel Service,-81.6865387,30.207433699999996,5
,,Fashion And Apparel Store,-81.68135160000001,30.205864100000003,5
,,Military Site,-81.68583996879381,30.202208410313425,5
,,Personal Or Beauty Service,-81.68662198,30.202294700000003,5
,,Community And Government,-81.68350559997845,30.202817375028385,5
,,Park,-81.684302,30.203714999999992,5
,,Social Or Community Service,-81.69099038,30.193072430000004,5
,,Bridge,-81.6665,30.190500000000004,5
,,River,-81.6833485,30.189779949999995,5
,,Uncategorized,-81.66957564629587,30.188430751235895,5
,,Hardware Home And Garden Store,-81.65841261855304,30.15844653623872,5
,,Restaurant,-81.658141575956,30.156280945243985,5
,,Financial Service,-81.6355776,30.1471984,5
,,Financial Service,-81.63557259,30.14719101,5
,,Real Estate Service,-81.63549354,30.147046319999994,5
,,Personal Or Beauty Service,-81.63549966,30.14704364,5
,,Professional Service,-81.63549959,30.14704036000001,5
,,Financial Service,-81.6354929,30.147042499999998,5
,,Doctor,-81.635493,30.147042999999993,5
,,Surgery,-81.6354929,30.147042499999998,5
,,Uncategorized,-81.6354929,30.147042499999998,5
,,Uncategorized,-81.6354929,30.147042499999998,5
,,Financial Service,-81.6354929,30.147042499999998,5
,,Financial Service,-81.6354929,30.147042499999998,5
,,Financial Service,-81.6354929,30.147042499999998,5
,,Home Service,-81.63549535,30.147040939999993,5
,,Financial Service,-81.63549602,30.14704425,5
,,Financial Service,-81.63549791,30.14704543,5
,,Financial Service,-81.63549666,30.147042819999996,5
,,Complementary And Alternative Medicine,-81.63563309667,30.147076182569165,5
,,Complementary And Alternative Medicine,-81.63563309667,30.147076182569165,5
,,Legal Service,-81.63565066148512,30.147014729972714,5
,,Financial Service,-81.63565066148512,30.147014729972714,5
,,Professional Service,-81.63577493,30.14722718,5
,,Behavioral Or Mental Health Clinic,-81.63583293,30.147156729999995,5
,,Attorney Or Law Firm,-81.63591742,30.147167819999993,5
,,Specialty Store,-81.63589,30.147043000000007,5
,,Complementary And Alternative Medicine,-81.6358108,30.147073700000004,5
,,Personal Or Beauty Service,-81.63576392983902,30.147045898203803,5
,,Sport Or Recreation Club,-81.63576392983902,30.147045898203803,5
