naics_code,naics_title_ours,selected_felten_code,selected_felten_name,aiie_score,match_basis,manual_notes,review_source,latest_year_employment,latest_year_weight,step4_match_flag
5211,Monetary authorities - central bank,5211,Monetary Authorities-Central Bank,1.770347,raw_exact_match,,notebook_raw_appendix_b,930.0,8.062323529391877e-06,True
4879,"Scenic and sightseeing transportation, other",4879,"Scenic and Sightseeing Transportation, Other",0.1866125,raw_exact_match,,notebook_raw_appendix_b,568.0,4.9240857684888024e-06,True
3161,Leather and hide tanning and finishing,3161,Leather and Hide Tanning and Finishing,-1.103977,raw_exact_match,,notebook_raw_appendix_b,563.0,4.880739943061964e-06,True
1124,Sheep and goat farming,,,,,,,387.0,3.3549668880372646e-06,False
1131,Timber tract operations,,,,,,,300.0,2.600749525610283e-06,False
1142,Hunting and trapping,,,,,,,202.0,1.751171347244257e-06,False
1132,Forest nursery and gathering forest products,,,,,,,163.0,1.4130739089149204e-06,False
4821,Rail transportation,4821,Rail Transportation,-0.5922358,raw_exact_match,,notebook_raw_appendix_b,31.0,2.687441176463959e-07,True
4421,Furniture stores,4421,Furniture Stores,-0.0112289,raw_exact_match,,notebook_raw_appendix_b,,,True
4422,Home furnishings stores,4422,Home Furnishings Stores,0.049807,raw_exact_match,,notebook_raw_appendix_b,,,True
4431,Electronics and appliance stores,4431,Electronics and Appliance Stores,0.3619018,raw_exact_match,,notebook_raw_appendix_b,,,True
4461,Health and personal care stores,4461,Health and Personal Care Stores,0.3257251,raw_exact_match,,notebook_raw_appendix_b,,,True
4471,Gasoline stations,4471,Gasoline Stations,-0.3108229,raw_exact_match,,notebook_raw_appendix_b,,,True
4481,Clothing stores,4481,Clothing Stores,0.2268381,raw_exact_match,,notebook_raw_appendix_b,,,True
4482,Shoe stores,4482,Shoe Stores,0.2810808,raw_exact_match,,notebook_raw_appendix_b,,,True
4483,"Jewelry, luggage, and leather goods stores",4483,"Jewelry, Luggage, and Leather Goods Stores",0.3828857,raw_exact_match,,notebook_raw_appendix_b,,,True
4511,Sporting goods and musical instrument stores,4511,"Sporting Goods, Hobby, and Musical Instrument Stores",0.2090943,raw_exact_match,,notebook_raw_appendix_b,,,True
4512,"Book, periodical, and music stores",4512,Book Stores and News Dealers,0.2499871,raw_exact_match,,notebook_raw_appendix_b,,,True
4521,Department stores,,,,,,,,,False
4522,NAICS 4522 Department stores,,,,,,,,,False
4523,"NAICS 4523 General merchandise stores, including warehouse clubs and supercenters",,,,,,,,,False
4529,Other general merchandise stores,,,,,,,,,False
4531,Florists,4531,Florists,-0.3690017,raw_exact_match,,notebook_raw_appendix_b,,,True
4532,"Office supplies, stationery, and gift stores",,,,,,,,,False
4533,Used merchandise stores,,,,,,,,,False
4539,Other miscellaneous store retailers,4539,Other Miscellaneous Store Retailers,0.00781,raw_exact_match,,notebook_raw_appendix_b,,,True
4541,Electronic shopping and mail-order houses,4541,Electronic Shopping and Mail-Order Houses,0.6046838,raw_exact_match,,notebook_raw_appendix_b,,,True
4542,Vending machine operators,4542,Vending Machine Operators,-0.6646855,raw_exact_match,,notebook_raw_appendix_b,,,True
4543,Direct selling establishments,4543,Direct Selling Establishments,-0.0433316,raw_exact_match,,notebook_raw_appendix_b,,,True
5111,"Newspaper, book, and directory publishers",5111,"Newspaper, Periodical, Book, and Directory Publishers",1.337831,raw_exact_match,,notebook_raw_appendix_b,,,True
5112,Software publishers,5112,Software Publishers,1.966309,raw_exact_match,,notebook_raw_appendix_b,,,True
5151,Radio and television broadcasting,5151,Radio and Television Broadcasting,1.429625,raw_exact_match,,notebook_raw_appendix_b,,,True
5152,Cable and other subscription programming,5152,Cable and Other Subscription Programming,1.098212,raw_exact_match,,notebook_raw_appendix_b,,,True
5172,Wireless telecommunications carriers,,,,,,,,,False
5173,NAICS 5173 Wired and wireless telecommunications carriers,,,,,,,,,False
5179,Other telecommunications,,,,,,,,,False
5191,Other information services,5191,Other Information Services,1.749664,raw_exact_match,,notebook_raw_appendix_b,,,True
7221,Full-service restaurants,,,,,,,,,False
7222,Limited-service eating places,,,,,,,,,False
